Date,Start_Hour,End_Hour,Production,Source,Day_of_Year,Day_Name,Month_Name,Season
12/18/2022,21,22,11400,Wind,352,Sunday,December,Winter
1/29/2024,14,15,7917,Wind,29,Monday,January,Winter
8/1/2024,15,16,8835,Solar,214,Thursday,August,Summer
11/10/2020,1,2,989,Wind,315,Tuesday,November,Fall
12/19/2022,1,2,12526,Wind,353,Monday,December,Winter
10/18/2024,13,14,4855,Solar,292,Friday,October,Fall
4/10/2020,17,18,3692,Solar,101,Friday,April,Spring
1/25/2023,0,1,2156,Wind,25,Wednesday,January,Winter
12/12/2021,12,13,5813,Wind,346,Sunday,December,Winter
10/11/2020,13,14,6106,Wind,285,Sunday,October,Fall
1/8/2024,23,0,5515,Wind,8,Monday,January,Winter
1/8/2020,18,19,2785,Wind,8,Wednesday,January,Winter
1/29/2022,20,21,8498,Wind,29,Saturday,January,Winter
6/2/2021,15,16,5561,Solar,153,Wednesday,June,Summer
6/11/2024,7,8,2328,Wind,163,Tuesday,June,Summer
6/5/2020,21,22,6664,Wind,157,Friday,June,Summer
5/2/2021,13,14,4993,Solar,122,Sunday,May,Spring
1/13/2022,0,1,3276,Wind,13,Thursday,January,Winter
7/24/2020,3,4,1739,Wind,206,Friday,July,Summer
8/29/2024,5,6,2083,Wind,242,Thursday,August,Summer
1/3/2024,0,1,17272,Wind,3,Wednesday,January,Winter
4/2/2024,2,3,12285,Wind,93,Tuesday,April,Spring
7/29/2020,16,17,3480,Solar,211,Wednesday,July,Summer
11/5/2024,6,7,1690,Wind,310,Tuesday,November,Fall
10/24/2022,8,9,11508,Wind,297,Monday,October,Fall
2/27/2023,10,11,15692,Wind,58,Monday,February,Winter
4/2/2020,15,16,4169,Solar,93,Thursday,April,Spring
5/13/2020,3,4,3174,Wind,134,Wednesday,May,Spring
11/22/2023,14,15,7314,Wind,326,Wednesday,November,Fall
9/11/2021,11,12,4969,Solar,254,Saturday,September,Fall
4/7/2025,15,16,9862,Solar,97,Monday,April,Spring
7/27/2025,22,23,3862,Wind,208,Sunday,July,Summer
3/11/2021,13,14,16144,Wind,70,Thursday,March,Spring
4/30/2022,16,17,8188,Solar,120,Saturday,April,Spring
1/19/2023,23,0,1710,Wind,19,Thursday,January,Winter
9/11/2022,4,5,472,Wind,254,Sunday,September,Fall
9/25/2021,16,17,3402,Solar,268,Saturday,September,Fall
8/8/2020,12,13,3996,Solar,221,Saturday,August,Summer
6/8/2021,1,2,1148,Wind,159,Tuesday,June,Summer
6/10/2024,21,22,4062,Wind,162,Monday,June,Summer
6/18/2020,0,1,1443,Wind,170,Thursday,June,Summer
5/30/2023,17,18,13363,Wind,150,Tuesday,May,Spring
2/17/2022,1,2,15609,Wind,48,Thursday,February,Winter
5/11/2022,19,20,8878,Wind,131,Wednesday,May,Spring
5/7/2024,7,8,2974,Wind,128,Tuesday,May,Spring
11/22/2025,12,13,12324,Wind,326,Saturday,November,Fall
4/9/2021,21,22,5279,Wind,99,Friday,April,Spring
12/24/2021,11,12,3872,Wind,358,Friday,December,Winter
3/11/2023,12,13,6406,Wind,70,Saturday,March,Spring
8/13/2021,13,14,5323,Solar,225,Friday,August,Summer
2/1/2021,15,16,7166,Wind,32,Monday,February,Winter
9/11/2023,13,14,7117,Solar,254,Monday,September,Fall
7/1/2020,13,14,5874,Wind,183,Wednesday,July,Summer
3/10/2025,9,10,4807,Solar,69,Monday,March,Spring
6/23/2023,15,16,7976,Solar,174,Friday,June,Summer
2/9/2023,13,14,5168,Solar,40,Thursday,February,Winter
5/24/2020,0,1,4384,Wind,145,Sunday,May,Spring
7/26/2021,23,0,1465,Wind,207,Monday,July,Summer
9/28/2020,6,7,3962,Wind,272,Monday,September,Fall
8/25/2021,0,1,6786,Wind,237,Wednesday,August,Summer
12/16/2021,14,15,5553,Wind,350,Thursday,December,Winter
3/11/2022,22,23,10557,Wind,70,Friday,March,Spring
4/13/2020,17,18,10961,Wind,104,Monday,April,Spring
10/4/2022,23,0,2160,Wind,277,Tuesday,October,Fall
6/12/2025,1,2,8382,Wind,163,Thursday,June,Summer
8/18/2022,10,11,3688,Solar,230,Thursday,August,Summer
10/25/2025,18,19,8209,Wind,298,Saturday,October,Fall
10/24/2023,22,23,6448,Wind,297,Tuesday,October,Fall
10/13/2021,18,19,2194,Wind,286,Wednesday,October,Fall
7/19/2025,11,12,10173,Wind,200,Saturday,July,Summer
6/1/2021,5,6,5221,Wind,152,Tuesday,June,Summer
